name,latitude,longitude,free_bikes,empty_slots,total_docks
"200256 - Sutton Street, Shadwell",51.511066,-0.053558,27,2,29
"200021 - Hermitage Court, Wapping",51.504719,-0.063531,15,0,15
"200128 - Queen Street 2, Bank",51.511246,-0.093051,0,35,35
"300093 - Park Lane, Mayfair",51.50542628,-0.150817316,0,17,17
"001063 - Wood Street, Guildhall",51.51700801,-0.09388536,0,17,17
"200183 - Battersea Park Road, Nine Elms",51.4795017,-0.141770709,7,19,26
"002667 - Tower Wharf, Bermondsey",51.500845,-0.074704305,19,1,20
"200039 - Sail Street, Vauxhall",51.495656,-0.114605,13,8,21
"001166 - Bell Street , Marylebone",51.52202903,-0.165842551,15,3,18
"200185 - St. John's Road, Clapham Junction",51.46239255,-0.16829214,26,4,30
"002694 - Clapham Common Station, Clapham Common",51.461388,-0.13922146,18,2,20
"300101 - Little Brook Green, Brook Green",51.496664,-0.223868,13,20,33
"002648 - Waterloo Bridge, South Bank",51.50535447,-0.113656543,15,0,15
"003463 - Argyll Road, Kensington",51.50040123,-0.195455928,1,18,19
"200001 - Limerston Street, West Chelsea",51.485587,-0.18119,1,17,18
"001032 - New Inn Yard, Shoreditch",51.52452699,-0.079248081,1,17,18
"200195 - St Martins Close, Camden Town",51.538792,-0.138535,5,13,18
"300085 - Freston Road, Avondale",51.5129814,-0.219486603,18,4,22
"000975 - Theobald's Road , Holborn",51.52059681,-0.116688468,3,23,26
"001098 - Lower Thames Street, Monument",51.50930161,-0.084985356,3,20,23
"001030 - Lisson Grove, St. John's Wood",51.52644828,-0.172190727,10,6,16
"001217 - Serpentine Car Park, Hyde Park",51.505014,-0.17306032,1,14,15
"200022 - Saunders Ness Road, Cubitt Town",51.487129,-0.0090011,17,16,33
"200084 - Doddington Grove, Kennington",51.48692917,-0.102996299,33,1,34
"001210 - Nevern Place, Earl's Court",51.49334336,-0.194757949,13,7,20
"200044 - New Fetter Lane, Holborn",51.517428,-0.107987,0,20,20
"200175 - Wandsworth Rd, Isley Court, Wandsworth Road",51.46925984,-0.141812513,23,7,30
"002690 - City Road, Angel",51.530344,-0.100168,7,39,46
"001003 - Chapel Place, Marylebone",51.51530805,-0.147203711,0,29,29
"200006 - Hewison Street, Old Ford",51.533283,-0.028155,17,1,18
"000998 - Lollard Street, Vauxhall",51.49288067,-0.114934001,17,6,23
"001056 - Finsbury Square , Moorgate",51.52096262,-0.085634242,9,24,33
"003437 - Curzon Street, Mayfair",51.50706909,-0.145904427,0,15,15
"022160 - Chelsea Bridge, Pimlico",51.485821,-0.149004,0,15,15
"200003 - Cheshire Street, Bethnal Green",51.52388,-0.065076,21,5,26
"003470 - Great Percy Street, Clerkenwell",51.52891573,-0.115480888,16,7,23
"003435 - Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,0,19,19
"300219 - Here East South, Queen Elizabeth Olympic Park",51.5465327935,-0.0205975904647,8,20,28
"001183 - Bramham Gardens, Earl's Court",51.49016361,-0.19039362,22,6,28
"200254 - Teviot Street, Poplar",51.518811,-0.011662,23,10,33
"300027 - Mile End Park Leisure Centre, Mile End",51.52059714,-0.032566533,12,35,47
"003424 - Broadcasting House, Marylebone",51.51811784,-0.144228881,1,16,17
"200132 - Gaywood  Street, Elephant & Castle",51.49605,-0.104193,22,21,43
"200096 - Green Park Station, Mayfair",51.506613,-0.142844,3,24,27
"200170 - Esmond Street, Putney",51.46231278,-0.211468596,30,0,30
"000963 - Bankside Mix, Bankside",51.50581776,-0.100186337,0,60,60
"300009 - World's End Place, West Chelsea",51.48180515,-0.18027465,17,2,19
"200197 - Barons Court Station, West Kensington",51.49021762,-0.215087092,4,25,29
"300029 - Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717614,21,23,44
"001062 - Braham Street, Aldgate",51.51423368,-0.073537654,0,32,32
"200041 - Antill Road, Mile End",51.528224,-0.037471,14,15,29
"001023 - River Street , Clerkenwell",51.52916347,-0.109970527,17,0,17
"200078 - Aberfeldy Street, Poplar",51.513548,-0.005659,15,0,15
"200123 - Burdett Road, Mile End",51.516196,-0.029138,20,10,30
"300053 - Stephendale Road, Sands End",51.46822047,-0.190346493,28,19,47
"003430 - Central House, Aldgate",51.515231,-0.07015,0,16,16
"200144 - Sea Containers, South Bank",51.508033,-0.10682363,0,28,28
"200222 - Danvers Street, West Chelsea",51.48256792,-0.172078187,15,5,20
"002586 - Cloudesley Road, Angel",51.53440868,-0.109025404,15,20,35
"200079 - Ram Street, Wandsworth",51.45752945,-0.192165613,21,3,24
"001172 - Queen's Gate (South), South Kensington",51.49247977,-0.178433004,1,24,25
"200109 - Alpha Grove, Millwall",51.497304,-0.022793,12,11,23
"200082 - St. Mary & St. Michael Church, Stepney",51.51417,-0.052099,9,15,24
"000973 - Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,0,33,33
"002698 - Aberdeen Place, St. John's Wood",51.524826,-0.176268,7,9,16
"200226 - Kingsway Southbound, Strand",51.513875,-0.117774,0,32,32
"001180 - Bourne Street, Belgravia",51.490959,-0.1532331,6,10,16
"003461 - Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,1,24,25
"300060 - Brandon Street, Walworth",51.489102,-0.0915489,22,0,22
"001039 - Wapping High Street, Wapping",51.504904,-0.06797,13,4,17
"300095 - Michael Road, Walham Green",51.47727637,-0.189210466,20,17,37
"003448 - Webber Street , Southwark",51.50069361,-0.102091246,33,12,45
"200024 - Queensbridge Road, Haggerston",51.53385,-0.06992,24,9,33
"200069 - Knaresborough Place, Earl's Court",51.49363156,-0.190603326,10,6,16
"001041 - Westbourne Grove, Bayswater",51.51552971,-0.190240716,15,8,23
"300064 - Ranelagh Gardens, Fulham",51.46760141,-0.20682737,23,11,34
"000969 - Gower Place , Euston",51.52522753,-0.13518856,0,16,16
"003464 - Green Street, Mayfair",51.51227622,-0.157436972,2,13,15
"300089 - Ormonde Gate, Chelsea",51.48796408,-0.161765173,4,20,24
"000959 - Milroy Walk, South Bank",51.50724437,-0.106237501,6,22,28
"001230 - Millennium Hotel, Mayfair",51.5109192966489,-0.1511263847351,2,23,25
"000999 - Queen Street 1, Bank",51.51155322,-0.0929401,0,21,21
"300088 - Queensdale Road, Shepherd's Bush",51.50659035,-0.216104479,22,5,27
"001195 - St. George's Square, Pimlico",51.488226,-0.135635511,16,0,16
"300010 - Surrey Lane, Battersea",51.47518024,-0.167160736,22,0,22
"200119 - Dorothy Road, Clapham Junction",51.46506424,-0.163750945,24,0,24
"000972 - Hampstead Road, Euston",51.52554222,-0.138231303,2,46,48
"022171 - Red Lion Street, Holborn",51.51824,-0.11655,0,33,33
"003433 - Sadlers Sports Centre, Finsbury",51.52486887,-0.099489485,2,12,14
"003454 - Denyer Street, Knightsbridge",51.49358391,-0.165101392,10,20,30
"200174 - Mostyn Grove, Bow",51.530535,-0.025492,20,25,45
"010625 - Penfold Street, Marylebone",51.52289229,-0.171681991,4,9,13
"200216 - Clements Road, Bermondsey",51.4954,-0.061698585,15,7,22
"300021 - Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889482,23,13,36
"001157 - Black Lion Gate, Kensington Gardens",51.50990837,-0.187842717,11,5,16
"200217 - Disraeli Road, Putney",51.4616107,-0.2161458,27,6,33
"200158 - Whiston Road, Haggerston",51.534464,-0.076341,6,12,18
"000990 - Cotton Garden Estate, Kennington",51.4907579,-0.106323685,22,0,22
"200029 - Finlay Street, Fulham",51.4768851,-0.215895601,22,1,23
"300237 - Tate Modern, Bankside",51.5067252868,-0.0988072461627,0,29,29
"001072 - Waterloo Station 3, Waterloo",51.50379168,-0.11282408,31,1,32
"003420 - Sedding Street, Sloane Square",51.49313,-0.156876,0,25,25
"200177 - Santos Road, Wandsworth",51.45705988,-0.200806304,15,15,30
"300011 - Victoria Park Road, Hackney Central",51.53642464,-0.054162264,33,1,34
"200196 - Simpson Street, Clapham Junction",51.47084722,-0.17070367,16,7,23
"002703 - Fire Brigade Pier, Vauxhall",51.49369988,-0.121394101,22,7,29
"001207 - Tavistock Street, Covent Garden",51.51196803,-0.120718759,1,27,28
"000978 - Russell Square Station, Bloomsbury",51.52341837,-0.124121774,1,25,26
"001084 - Pindar Street, Liverpool Street",51.520955,-0.083493552,1,22,23
"001187 - St. John's Wood Road, St. John's Wood",51.5272947,-0.174653609,20,15,35
"001034 - Bruton Street, Mayfair",51.51073687,-0.144165239,0,21,21
"300043 - St. Peter's Terrace, Fulham",51.47893931,-0.208485293,18,5,23
"002692 - Waterloo Station 2, Waterloo",51.50391973,-0.11342629,38,5,43
"300038 - Star Road, West Kensington",51.48724429,-0.205279052,19,4,23
"001170 - Horseferry Road, Westminster",51.49481649,-0.13045856,13,3,16
"001035 - Boston Place, Marylebone",51.522511,-0.162298,17,7,24
"001094 - Wright's Lane, Kensington",51.50039792,-0.193068385,15,17,32
"000966 - New Kent Road, The Borough",51.49443626,-0.092921165,32,0,32
"200026 - Greenland Road, Camden Town",51.539099,-0.141728,21,14,35
"000986 - Finsbury Library , Finsbury",51.52671796,-0.104298194,15,14,29
"000982 - Holborn Circus, Holborn",51.51795029,-0.108657431,1,38,39
"300217 - Here East North, Queen Elizabeth Olympic Park",51.5487311915,-0.0226065549321,27,1,28
"003502 - Palissy Street, Shoreditch",51.526293,-0.073955,7,19,26
"300243 - Good's Way, King's Cross",51.5346677396,-0.125078652873,13,13,26
"200048 - Page Street, Westminster",51.493978,-0.127554,14,8,22
"001148 - Queen Mother Sports Centre, Victoria",51.49357351,-0.139956043,18,8,26
"001069 - Eaton Square, Belgravia",51.49654462,-0.150905245,0,17,17
"200145 - Gloucester Avenue, Camden Town",51.537349,-0.147154,13,7,20
"300091 - Hortensia Road, West Brompton",51.48176572,-0.185273723,26,2,28
"300234 - Stratford Station, Stratford",51.541793,-0.00481,16,8,24
"003452 - Panton Street, West End",51.50963938,-0.131510949,0,19,19
"001092 - Moorfields, Moorgate",51.51906932,-0.088285377,2,51,53
"200136 - BBC White City, White City",51.514767,-0.225787,23,13,36
"200176 - Sheepcote Lane, Battersea",51.47053858,-0.163041605,21,7,28
"000983 - Euston Road, Euston",51.5262363,-0.134407652,0,24,24
"003431 - Grafton Street, Mayfair",51.5099923,-0.143495266,0,15,15
"001225 - George Street, Marylebone",51.517703,-0.154106,0,26,26
"200046 - Napier Avenue, Millwall",51.487679,-0.021582,17,1,18
"200089 - Chrisp Street Market, Poplar",51.5112,-0.014438,14,2,16
"200097 - Beryl Road, Hammersmith",51.48814438,-0.222456468,7,17,24
"200045 - Garnet Street, Shadwell",51.508447,-0.055167,11,12,23
"300036 - Teversham Lane, Stockwell",51.47614939,-0.1232585,38,0,38
"200155 - Gascoyne Road, Victoria Park",51.541515,-0.038557746,7,11,18
"200038 - Ackroyd Drive, Bow",51.520398,-0.026768,28,0,28
"003441 - Vicarage Gate, Kensington",51.50472376,-0.192538767,7,11,18
"000989 - Murray Grove , Hoxton",51.53089041,-0.089782579,13,13,26
"001178 - Cleveland Gardens, Bayswater",51.515607,-0.183118788,15,0,15
"001145 - Bucknall Street, Covent Garden",51.51615,-0.12841769999999997,0,16,16
"002687 - Brick Lane Market, Shoreditch",51.52261762,-0.071653961,3,21,24
"200244 - Hollybush Gardens, Bethnal Green",51.527607,-0.057133,8,21,29
"300074 - Newton Street, Covent Garden",51.51612862,-0.120909408,20,1,21
"300047 - Alfreda Street, Battersea Park",51.47505096,-0.150908371,20,1,21
"200138 - Heron Quays DLR, Canary Wharf",51.502661,-0.021596,2,25,27
"300248 - Sopwith Way, Battersea Park",51.4811219398,-0.149035374873,23,5,28
"300079 - London Street, Paddington",51.515117,-0.17371276,13,0,13
"001177 - Seville Street, Knightsbridge",51.50185512,-0.159237081,1,25,26
"022183 - Crinan Street, King's Cross",51.534474,-0.122203,17,3,20
"001229 - High Holborn , Covent Garden",51.516226,-0.124826,2,16,18
"200020 - Shadwell Station, Shadwell",51.511088,-0.057159,24,7,31
"200018 - Spindrift Avenue, Millwall",51.49109,-0.018716,35,0,35
"003434 - Sancroft Street, Vauxhall",51.48947903,-0.115156562,23,0,23
"300069 - Harcourt Terrace, West Brompton",51.48795853,-0.187404506,17,5,22
"300203 - Euston Square Gardens, Euston",51.527068,-0.13186102,6,23,29
"000979 - Wenlock Road , Hoxton",51.53099181,-0.093903825,12,12,24
"200252 - Bow Church Station, Bow",51.528169,-0.018703,14,23,37
"001120 - Chepstow Villas, Notting Hill",51.51213691,-0.201554966,14,11,25
"022173 - Old Ford Road, Bethnal Green",51.531127,-0.048017,16,8,24
"200076 - Westminster Bridge Road, Elephant & Castle",51.498386,-0.107913,20,6,26
"200033 - Philpot Street, Whitechapel",51.515256,-0.058641,28,2,30
"300250 - Temple Gardens, Temple",51.510981,-0.10832249,0,23,23
"001193 - Kensington Gore, Knightsbridge",51.50143293,-0.178656971,0,22,22
"200113 - Smugglers Way, Wandsworth",51.46108367,-0.191722864,22,0,22
"300072 - Broadley Terrace, Marylebone",51.52456169,-0.165668686,6,11,17
"000994 - Tanner Street, Bermondsey",51.50064702,-0.078600401,30,11,41
"002691 - Howland Street, Fitzrovia",51.520994,-0.139016,0,29,29
"001081 - Liverpool Road (N1 Centre), Angel",51.53450449,-0.106992706,9,11,20
"001205 - Black Prince Road, Vauxhall",51.4908679,-0.116911864,7,11,18
"200025 - London Fields, Hackney Central",51.54119,-0.058826101,11,4,15
"200014 - Gunmakers Lane, Old Ford",51.535179,-0.03338,16,0,16
"200135 - Selby Street, Whitechapel",51.521905,-0.063386,9,6,15
"001029 - Windsor Terrace, Hoxton",51.52915444,-0.093421615,9,14,23
"000974 - Guilford Street , Bloomsbury",51.52334672,-0.120202614,0,31,31
"022182 - South Parade, Chelsea",51.48902,-0.17524,7,9,16
"300025 - Archbishop's Park, Waterloo",51.49824168,-0.117495865,0,23,23
"300013 - Austin Road, Battersea Park",51.474376,-0.155442787,21,1,22
"300033 - Putney Rail Station, Putney",51.46071722,-0.216526155,12,8,20
"001112 - Nutford Place, Marylebone",51.5165179,-0.164393768,5,12,17
"001050 - Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,2,19,21
"001188 - London Zoo Car Park, The Regent's Park",51.53692216,-0.150181444,29,7,36
"300200 - East Village, Queen Elizabeth Olympic Park",51.546326,-0.00993526,29,4,33
"001224 - Vauxhall Street, Vauxhall",51.486965,-0.116625,17,1,18
"001199 - The Tennis Courts, The Regent's Park",51.52536703,-0.153463612,8,6,14
"022180 - Cheapside, Bank",51.51397065,-0.09294031,1,42,43
"300040 - Ada Street, Hackney Central",51.53571683,-0.060291813,35,9,44
"001086 - Baker Street, Marylebone",51.51891348,-0.156166631,4,18,22
"001216 - Swan Street, The Borough",51.50029631,-0.092762704,21,4,25
"300252 - Canada Water Station, Rotherhithe",51.498439,-0.049150215,30,4,34
"003486 - St. Luke's Church, Chelsea",51.48971651,-0.170194408,1,19,20
"300082 - Bridge Avenue, Hammersmith",51.49208492,-0.229116862,11,2,13
"003499 - Prince Consort Road, Knightsbridge",51.49980661,-0.176415994,0,15,15
"001153 - Pall Mall East, West End",51.50777049,-0.130699733,0,21,21
"300045 - Albert Bridge Road, Battersea Park",51.47439218,-0.163347594,19,0,19
"200111 - Abbotsbury Road, Holland Park",51.501391,-0.205991,15,9,24
"300077 - Ingrave Street, Clapham Junction",51.46745485,-0.172293499,25,5,30
"001051 - Shoreditch Park, Hoxton",51.53404294,-0.086379717,21,9,30
"200030 - Driffield Road, Old Ford",51.534137,-0.037366,8,9,17
"200066 - Import Dock, Canary Wharf",51.505772,-0.016460175,2,35,37
"200206 - Chicheley Street, South Bank",51.502698,-0.1167474,14,9,23
"001004 - Doric Way , Somers Town",51.5288338,-0.132250369,23,27,50
"001042 - Woodstock Street, Mayfair",51.51410514,-0.147301667,0,19,19
"200182 - Rainville Road, Hammersmith",51.48373225,-0.223852256,33,3,36
"002679 - George Row, Bermondsey",51.498585,-0.068981764,19,1,20
"022159 - Ebury Bridge, Pimlico",51.490491,-0.149186,8,20,28
"001137 - Harper Road, The Borough",51.49859784,-0.096191134,36,6,42
"001142 - Tooley Street, Bermondsey",51.5034938,-0.07962099,10,16,26
"003467 - Dock Street, Wapping",51.5097860151,-0.0681619805156,12,16,28
"300231 - Lambeth Palace Road, Waterloo",51.5000891978,-0.116628700672,1,31,32
"300054 - Chesilton Road, Fulham",51.47569809,-0.20587627,16,4,20
"001151 - Whitehall Place, Strand",51.50654321,-0.123179697,1,23,24
"200235 - Manbre Road, Hammersmith",51.485743,-0.223616,26,0,26
"003497 - Rathbone Street, Fitzrovia",51.51816295,-0.135025698,0,15,15
"200049 - St. Katharine's Way, Tower",51.505697,-0.070542,16,7,23
"001055 - Wellington Road, St. John's Wood",51.53304322,-0.172528678,10,1,11
"300247 - Cranmer Road, Stockwell",51.479601,-0.11147178,21,0,21
"200067 - Princedale Road , Holland Park",51.50646524,-0.208486599,6,14,20
"200019 - Malmesbury Road, Bow",51.529452,-0.027616,7,12,19
"300097 - Gwendwr Road, West Kensington",51.491026,-0.209121,13,16,29
"300206 - Saltoun Road, Brixton",51.460232,-0.11537509,40,0,40
"022163 - Southwark Station 2, Southwark",51.504044,-0.104778,38,6,44
"300059 - The Blue, Bermondsey",51.492221,-0.06251309999998966,17,4,21
"001179 - Chelsea Green, Chelsea",51.49066456,-0.166485083,6,8,14
"003440 - Royal Avenue 1, Chelsea",51.489932,-0.162727,0,9,9
"001139 - Carey Street, Holborn",51.51501025,-0.112753217,2,13,15
"003473 - Belgrave Square, Belgravia",51.49941247,-0.152317537,1,16,17
"001222 - Goswell Road (City Uni), Finsbury",51.528246,-0.10102611,3,13,16
"003456 - Portugal Street, Holborn",51.51494305,-0.11614642,0,16,16
"001206 - Montpelier Street, Knightsbridge",51.49888404,-0.165471605,5,10,15
"200061 - Westfield Southern Terrace ,Shepherd's Bush",51.506256,-0.218337,28,0,28
"200102 - Harford Street, Mile End",51.521564,-0.039264,7,13,20
"002633 - Palace Gardens Terrace, Notting Hill",51.50860544,-0.193764092,14,20,34
"001186 - Belvedere Road 1, South Bank",51.50613324,-0.114686385,27,9,36
"003481 - Rodney Road , Walworth",51.49148474,-0.090220911,13,10,23
"200192 - Fawcett Close, Battersea",51.46916161,-0.174485792,25,10,35
"300019 - Felsham Road, Putney",51.464786,-0.215618902,11,5,16
"200191 - Spencer Park, Wandsworth Common",51.45787019,-0.174691623,10,13,23
"200173 - Courland Grove, Wandsworth Road",51.4729184,-0.132102704,37,3,40
"300039 - Wendon Street, Old Ford",51.53603947,-0.026262677,17,0,17
"001159 - Berry Street, Clerkenwell",51.52285301,-0.099994052,1,38,39
"300068 - Humbolt Road, Fulham",51.48321729,-0.211860644,13,12,25
"001080 - Great Tower Street, Monument",51.51048489,-0.082989638,0,22,22
"200064 - Regent's Row , Haggerston",51.535678,-0.062546,16,6,22
"300080 - Culvert Road, Battersea",51.4710956,-0.157850096,10,16,26
"000992 - St. John Street, Finsbury",51.52836014,-0.104724625,9,8,17
"002665 - Lord's, St. John's Wood",51.5291212008901,-0.171185284853,7,16,23
"200015 - Ladbroke Grove Central, Ladbroke Grove",51.511624,-0.205921,8,11,19
"001044 - The Guildhall, Guildhall",51.51573534,-0.093080779,0,17,17
"200053 - Killick Street, King's Cross",51.5338,-0.118677,18,2,20
"300216 - Gas Holders, Battersea Park",51.477966,-0.14785703,21,2,23
"200159 - Goldsmith's Row, Haggerston",51.531864,-0.066035,20,2,22
"001167 - South Wharf Road, Paddington",51.51733558,-0.175810943,12,1,13
"200229 - Fulham Park Road, Fulham",51.473471,-0.20782,24,2,26
"001047 - Falkirk Street, Hoxton",51.53095071,-0.078505384,17,9,26
"300226 - Copper Box Arena, Queen Elizabeth Olympic Park",51.544909,-0.0205426,10,18,28
"200187 - Morie Street, Wandsworth",51.45995384,-0.190184054,28,0,28
"200098 - Aintree Street, Fulham",51.48102131,-0.209973497,21,1,22
"002682 - Turquoise Island, Notting Hill",51.51431171,-0.200838199,17,1,18
"200080 - Russell Gardens, Olympia",51.500088,-0.211316,10,13,23
"001134 - Warwick Road, Olympia",51.49671237,-0.20528437,12,22,34
"001146 - Tysoe Street, Clerkenwell",51.52644342,-0.109256828,14,6,20
"001048 - Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,0,32,32
"001160 - Craven Street, Strand",51.50810309,-0.12602103,0,23,23
"000985 - Hatton Garden, Holborn",51.51882555,-0.108028472,0,28,28
"003504 - Moor Street, Soho",51.51352755,-0.130110822,0,15,15
"300225 - Normandy Road, Stockwell",51.473874,-0.11258096,29,0,29
"300001 - Sandilands Road, Walham Green",51.473611,-0.191803,21,0,21
"200227 - Westfield Library Corner, Shepherd's Bush",51.506093,-0.2242237,26,0,26
"200035 - Walmer Road, Avondale",51.510101,-0.211358,10,13,23
"002677 - Natural History Museum, South Kensington",51.49559291,-0.179077626,0,42,42
"200125 - Putney Bridge Station, Fulham",51.468814,-0.210279,18,3,21
"003498 - Geraldine Street, Elephant & Castle",51.49612799,-0.106000855,14,1,15
"001013 - St. Chad's Street, King's Cross",51.53005939,-0.120973687,22,1,23
"300032 - Victoria & Albert Museum, South Kensington",51.495898,-0.173009,0,29,29
"200081 - Coomer Place, West Kensington",51.4835707,-0.2020387000000028,23,2,25
"200157 - Fournier Street, Whitechapel",51.519362,-0.074431,0,17,17
"001227 - Devonshire Terrace, Bayswater",51.51348,-0.17977,14,1,15
"022166 - Albert Gardens, Stepney",51.51328,-0.047784,25,5,30
"300241 - Handyside Street, King's Cross",51.5372406,-0.12480740000000878,2,20,22
"200115 - Flamborough Street, Limehouse",51.5128711,-0.0389866,21,1,22
"200156 - Pott Street, Bethnal Green",51.527152,-0.058005,10,5,15
"003485 - Tyers Gate, Bermondsey",51.50088934,-0.083159352,8,27,35
"000995 - Little Argyll Street, West End",51.51449962,-0.141423695,5,13,18
"001219 - Lower Marsh, Waterloo",51.5001394,-0.11393599999999537,5,12,17
"200148 - Ansell House, Stepney",51.520019,-0.05438,15,24,39
"200011 - Furze Green, Bow",51.519265,-0.021345,20,15,35
"000993 - Drummond Street , Euston",51.527326,-0.13605286,4,23,27
"300228 - Westferry Circus, Canary Wharf",51.5057030357,-0.0277727426235,6,27,33
"001025 - Bolsover Street, Fitzrovia",51.52351808,-0.143613641,0,18,18
"200178 - Buckingham Gate, Westminster",51.49886563,-0.137424571,1,14,15
"010621 - Upper Grosvenor Street, Mayfair",51.51013066,-0.155757901,1,16,17
"001076 - Walnut Tree Walk, Vauxhall",51.49368637,-0.111014912,20,0,20
"001223 - Buxton Street 1, Shoreditch",51.521776,-0.068856,12,29,41
"300253 - Bermondsey Station, Bermondsey",51.497995,-0.063471392,26,3,29
"002649 - Sardinia Street, Holborn",51.515208,-0.117863,0,22,22
"200246 - Eagle Wharf Road, Hoxton",51.53356,-0.09315,39,1,40
"300035 - Carnegie Street, King's Cross",51.53546778,-0.11619105,12,27,39
"003457 - Rochester Row, Westminster",51.49582705,-0.13547809,2,10,12
"300087 - Imperial Road, Sands End",51.47514228,-0.187278987,31,4,35
"001074 - Newgate Street , St. Paul's",51.515768,-0.09989400000000614,0,34,34
"001164 - Portland Place, Marylebone",51.52071513,-0.14521173,0,34,34
"300048 - Stainsby Road , Poplar",51.51542791,-0.02356501,9,13,22
"001202 - Wellington Street , Strand",51.51175646,-0.119643424,18,2,20
"001165 - Riverlight North, Nine Elms",51.482362,-0.13612398,20,2,22
"003500 - Baldwin Street, St. Luke's",51.52702563,-0.088542771,8,10,18
"300075 - Upcerne Road, West Chelsea",51.47816972,-0.18243547,17,10,27
"002678 - Farm Street, Mayfair",51.50935171,-0.14744969,1,13,14
"001107 - Gloucester Road Station, South Kensington",51.49418566,-0.18267094,0,15,15
"200043 - Bishop's Avenue, Fulham",51.47303687,-0.214749808,23,23,46
"200250 - Cleveland Way, Stepney",51.520893,-0.051394,17,17,34
"200181 - Richmond Way, Shepherd's Bush",51.50035306,-0.217515071,12,14,26
"022175 - Canton Street, Poplar",51.511811,-0.025626,17,4,21
"001123 - Southampton Place, Holborn",51.51760685,-0.121328408,0,19,19
"000996 - Borough High Street, The Borough",51.50069491,-0.094524319,6,14,20
"002660 - Frith Street, Soho",51.51310333,-0.13121385,0,16,16
"001033 - Paddington Street, Marylebone",51.52058381,-0.154701411,0,15,15
"200120 - Grant Road East, Clapham Junction",51.46489445,-0.17302926,21,4,25
"300078 - Oxford Road, Putney",51.46079243,-0.212607684,28,1,29
"001115 - Ilchester Place, Kensington",51.50074359,-0.202759212,2,22,24
"003496 - St Mary's Hospital, Paddington",51.518268,-0.17110323,3,16,19
"200112 - Cadogan Close, Victoria Park",51.54211855,-0.028941601,11,10,21
"001117 - Lambeth North Station, Waterloo",51.49914063,-0.112031483,11,8,19
"001141 - Kingsway, Covent Garden",51.51440928,-0.118478757,0,16,16
"003501 - Clifton Street, Shoreditch",51.523196,-0.083067,6,18,24
"022177 - Christian Street, Whitechapel",51.513074,-0.064094,13,21,34
"200248 - Pitfield Street Central, Hoxton",51.53213,-0.08299,19,7,26
"200074 - Bury Place, Holborn",51.51742,-0.12318999999999392,0,19,19
"003476 - Hinde Street, Marylebone",51.51681444,-0.151926305,0,21,21
"200013 - Aston Street, Stepney",51.516,-0.038775,18,6,24
"003484 - Houghton Street, Strand",51.51362054,-0.116764211,0,14,14
"200234 - Bancroft Road, Bethnal Green",51.526041,-0.047218,19,0,19
"000962 - Stamford Street, South Bank",51.50556905,-0.111606696,26,1,27
"200166 - Southerton Road, Hammersmith",51.494499,-0.228188,33,2,35
"001097 - Northumberland Avenue, Strand",51.506767,-0.123702,3,34,37
"300006 - Clapham South, Clapham South",51.452997,-0.1486519000000044,26,2,28
"300063 - Burgess Park Albany Road, Walworth",51.48224,-0.0942844,28,0,28
"001046 - Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,10,25,35
"200253 - Fore Street Avenue, Guildhall",51.517842,-0.090075,0,18,18
"002696 - Waterloo Station 1, Waterloo",51.50402794,-0.11386436,34,0,34
"003492 - Putney Pier, Wandsworth",51.466907,-0.216573,17,8,25
"001161 - Brushfield Street, Liverpool Street",51.518908,-0.079249,1,30,31
"200083 - Pritchard's Road, Bethnal Green",51.532091,-0.061419999999998254,11,15,26
"003494 - Foley Street, Fitzrovia",51.51918144,-0.140485596,2,20,22
"300015 - Binfield Road, Stockwell",51.47250956,-0.122831913,35,0,35
"300210 - Halford Road, West Kensington",51.483911,-0.19760944,21,3,24
"001116 - Emperor's Gate, South Kensington",51.49536226,-0.185296516,2,17,19
"003445 - Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,11,29,40
"200124 - Clarendon Road, Avondale",51.51323001,-0.211593602,16,6,22
"200031 - East Ferry Road, Cubitt Town",51.49447,-0.014409,11,5,16
"300005 - Ethelburga Estate, Battersea Park",51.47729232,-0.16478637,28,1,29
"300020 - West Kensington Station, West Kensington",51.49087074,-0.206029743,10,8,18
"001087 - Belgrave Road, Victoria",51.49320445,-0.144132875,11,17,28
"300244 - The Metropolitan, Portobello",51.520509,-0.20080483,5,9,14
"001079 - Endsleigh Gardens, Euston",51.52683806,-0.130504336,14,15,29
"003493 - South Audley Street, Mayfair",51.50923,-0.15128999999998882,0,13,13
"200240 - Ferndale Road, Brixton",51.464019,-0.11578197,28,0,28
"200200 - Great Suffolk Street, The Borough",51.50173215,-0.100292412,11,8,19
"001036 - Crawford Street, Marylebone",51.52026,-0.157183945,0,17,17
"200047 - Bethnal Green Garden, Bethnal Green",51.52568,-0.055312,11,8,19
"003423 - Maida Vale, Maida Vale",51.529857,-0.18348604,27,11,38
"001009 - Taviton Street, Bloomsbury",51.52505093,-0.131161087,1,27,28
"003428 - Pancras Road, King's Cross",51.5341235,-0.129386874,9,6,15
