name,latitude,longitude,free_bikes,empty_slots,total_docks
"003459 - Collingham Gardens, Earl's Court",51.4916156,-0.186753859,12,1,13
"001176 - Waterloo Road, South Bank",51.50486,-0.113001,15,0,15
"200188 - Neville Gill Close, Wandsworth",51.45475251,-0.195197203,24,7,31
"200203 - King Edward Street, St Pauls",51.51601,-0.0985,0,20,20
"300076 - Lots Road, West Chelsea",51.4795738,-0.17903854,20,4,24
"200057 - Belford House, Haggerston",51.5366541,-0.07023031,10,29,39
"001066 - Calshot Street , King's Cross",51.53136059,-0.117069978,6,18,24
"200251 - Bow Road Station, Bow",51.527058,-0.025296,10,32,42
"003458 - Waterloo Place, St. James's",51.50663341,-0.131773845,4,15,19
"022161 - Vincent Street, Pimlico",51.493072,-0.129925,11,5,16
"010627 - Grosvenor Square, Mayfair",51.51217033,-0.150481272,2,15,17
"001059 - Albert Embankment, Vauxhall",51.4904357,-0.1228069000000005,20,3,23
"200143 - Lancaster Drive, Blackwall",51.503143,-0.008428,6,19,25
"003455 - Arundel Street, Temple",51.511726,-0.11385596,0,17,17
"300207 - Gauden Road, Clapham",51.464995,-0.13090885,27,1,28
"001022 - Brunswick Square, Bloomsbury",51.52395143,-0.122502346,2,19,21
"200230 - Maplin Street, Mile End",51.525501,-0.032267204,1,32,33
"200171 - Peterborough Road, Sands End",51.46904022,-0.19627483,23,5,28
"002681 - Harriet Street, Knightsbridge",51.50024195,-0.15934065,4,19,23
"002589 - Pembridge Villas, Notting Hill",51.51108452,-0.197524944,10,3,13
"300084 - Sirdar Road, Avondale",51.51092871,-0.214594781,18,7,25
"001105 - LMU Commercial Road, Whitechapel",51.51492456,-0.066078037,4,9,13
"003427 - Fanshaw Street, Hoxton",51.52953709,-0.083353323,5,30,35
"200062 - William Morris Way, Sands End",51.46881971,-0.184318843,12,14,26
"200210 - Westbridge Road, Battersea",51.47768469,-0.170329317,9,18,27
"000997 - Worship Street, Shoreditch",51.521668,-0.079608554,0,49,49
"001110 - Palace Gate, Kensington Gardens",51.50204238,-0.184400221,0,11,11
"200110 - Bishop's Bridge Road West, Bayswater",51.51616,-0.18697,17,0,17
"001194 - Westminster University, Marylebone",51.52248185,-0.154907218,6,9,15
"001002 - Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,10,16,26
"300067 - Grenfell Road, Avondale",51.5129006,-0.214762686,21,3,24
"001140 - Grosvenor Road, Pimlico",51.4853572,-0.142207481,19,9,28
"000964 - Bath Street, St. Luke's",51.52589324,-0.090847761,14,3,17
"300050 - Walworth Square, Walworth",51.491327,-0.096518684,24,0,24
"300083 - Duke Street Hill, London Bridge",51.50630441,-0.087262995,0,19,19
"001221 - St. George Street, Mayfair",51.51196,-0.142783033,0,17,17
"200160 - Langdon Park, Poplar",51.51549,-0.013475,12,11,23
"001218 - Flood Street, Chelsea",51.48802358,-0.166878535,1,30,31
"003432 - Farringdon Lane, Clerkenwell",51.52352001,-0.108340165,1,14,15
"010630 - George Place Mews, Marylebone",51.51689296,-0.158249929,2,13,15
"000980 - Malet Street, Bloomsbury",51.52168078,-0.130431727,0,49,49
"200129 - Charlotte Terrace, Angel",51.53639219,-0.112721065,18,7,25
"300213 - Monier Road, Hackney Wick",51.5403115,-0.021630359,25,0,25
"300037 - Ravenscourt Park Station, Hammersmith",51.49422354,-0.236769936,14,9,23
"200211 - Union Grove, Wandsworth Road",51.472993,-0.133972,36,6,42
"300018 - Charing Cross Hospital, Hammersmith",51.48728535,-0.217995921,16,4,20
"001024 - Park Street, Bankside",51.50597426,-0.092754157,1,16,17
"022165 - Fisherman's Walk West, Canary Wharf",51.50623,-0.02296,28,7,35
"300023 - All Saints Church, Portobello",51.51632095,-0.202608612,30,6,36
"001082 - Borough Road, Elephant & Castle",51.49889832,-0.100440521,27,13,40
"300007 - Rifle Place, Avondale",51.509224,-0.216016,14,7,21
"001060 - Torrens Street, Angel",51.53219984,-0.105480698,10,7,17
"300070 - Imperial Wharf Station, Sands End",51.474665,-0.18316517,24,0,24
"001138 - Elizabeth Bridge, Victoria",51.49236962,-0.147478734,20,12,32
"300229 - Sidney Road, Stockwell",51.469202,-0.11902256,25,0,25
"001077 - Royal London Hospital, Whitechapel",51.518675,-0.06111,25,14,39
"200243 - St. John's Park, Cubitt Town",51.496454,-0.009506,14,9,23
"200121 - Shoreditch Court, Haggerston",51.53908372,-0.070329419,29,6,35
"001106 - Rampayne Street, Pimlico",51.48997562,-0.132845681,20,1,21
"200247 - Globe Town Market, Bethnal Green",51.528869,-0.047548,15,2,17
"022172 - Bromley High Street, Bow",51.528828,-0.013258,6,6,12
"003446 - De Vere Gardens, Kensington",51.50173726,-0.184980612,14,11,25
