name,longitude,latitude
"200171 - Peterborough Road, Sands End",-0.19627483,51.46904022
"002681 - Harriet Street, Knightsbridge",-0.15934065,51.50024195
"002589 - Pembridge Villas, Notting Hill",-0.197524944,51.51108452
"300084 - Sirdar Road, Avondale",-0.214594781,51.51092871
"001105 - LMU Commercial Road, Whitechapel",-0.066078037,51.51492456
"003427 - Fanshaw Street, Hoxton",-0.083353323,51.52953709
"200062 - William Morris Way, Sands End",-0.184318843,51.46881971
"200210 - Westbridge Road, Battersea",-0.170329317,51.47768469
"000997 - Worship Street, Shoreditch",-0.079608554,51.521668
"001110 - Palace Gate, Kensington Gardens",-0.184400221,51.50204238
"200110 - Bishop's Bridge Road West, Bayswater",-0.18697,51.51616
"001194 - Westminster University, Marylebone",-0.154907218,51.52248185
"001002 - Holy Trinity Brompton, Knightsbridge",-0.168917077,51.49705603
"300067 - Grenfell Road, Avondale",-0.214762686,51.5129006
"001140 - Grosvenor Road, Pimlico",-0.142207481,51.4853572
"000964 - Bath Street, St. Luke's",-0.090847761,51.52589324
"300050 - Walworth Square, Walworth",-0.096518684,51.491327
"300083 - Duke Street Hill, London Bridge",-0.087262995,51.50630441
"001221 - St. George Street, Mayfair",-0.142783033,51.51196
"200160 - Langdon Park, Poplar",-0.013475,51.51549
"001218 - Flood Street, Chelsea",-0.166878535,51.48802358
"003432 - Farringdon Lane, Clerkenwell",-0.108340165,51.52352001
"010630 - George Place Mews, Marylebone",-0.158249929,51.51689296
"000980 - Malet Street, Bloomsbury",-0.130431727,51.52168078
"200129 - Charlotte Terrace, Angel",-0.112721065,51.53639219
"300213 - Monier Road, Hackney Wick",-0.021630359,51.5403115
"300037 - Ravenscourt Park Station, Hammersmith",-0.236769936,51.49422354
"200211 - Union Grove, Wandsworth Road",-0.133972,51.472993
"300018 - Charing Cross Hospital, Hammersmith",-0.217995921,51.48728535
"001024 - Park Street, Bankside",-0.092754157,51.50597426
"022165 - Fisherman's Walk West, Canary Wharf",-0.02296,51.50623
"300023 - All Saints Church, Portobello",-0.202608612,51.51632095
"001082 - Borough Road, Elephant & Castle",-0.100440521,51.49889832
"300007 - Rifle Place, Avondale",-0.216016,51.509224
"001060 - Torrens Street, Angel",-0.105480698,51.53219984
"300070 - Imperial Wharf Station, Sands End",-0.18316517,51.474665
"001138 - Elizabeth Bridge, Victoria",-0.147478734,51.49236962
"300229 - Sidney Road, Stockwell",-0.11902256,51.469202
"001077 - Royal London Hospital, Whitechapel",-0.06111,51.518675
"200243 - St. John's Park, Cubitt Town",-0.009506,51.496454
"200121 - Shoreditch Court, Haggerston",-0.070329419,51.53908372
"001106 - Rampayne Street, Pimlico",-0.132845681,51.48997562
"200247 - Globe Town Market, Bethnal Green",-0.047548,51.528869
"022172 - Bromley High Street, Bow",-0.013258,51.528828
"003446 - De Vere Gardens, Kensington",-0.184980612,51.50173726
"001173 - Gloucester Terrace, Bayswater",-0.188098863,51.51791921
"001214 - Kensington Olympia Station, Olympia",-0.209494128,51.49815779
"200150 - Cantrell Road, Bow",-0.022694,51.521564
"002662 - Butler Place, Westminster",-0.135440826,51.49782999
"001103 - Gloucester Street, Pimlico",-0.139625122,51.49096258
"002693 - Shouldham Street, Marylebone",-0.163609,51.51809
"001012 - Christopher Street, Liverpool Street",-0.084605692,51.52128377
"200114 - Orbel Street, Battersea",-0.170210533,51.47453545
"001131 - Graham Street, Angel",-0.099981142,51.53266186
"200141 - Westfield Ariel Way, White City",-0.224103,51.509158
"001197 - Sackville Street, Mayfair",-0.138846453,51.51004801
"200151 - Hoxton Station, Hoxton",-0.075901,51.531091
"003429 - Abbey Orchard Street, Westminster",-0.1321021999999914,51.4981256
"002666 - Howick Place, Westminster",-0.138733562,51.49675303
"300090 - Blenheim Crescent, Ladbroke Grove",-0.208565479,51.51510818
"200205 - Montserrat Road , Putney",-0.215550761,51.46321128
"300046 - Alma Road, Wandsworth",-0.184806157,51.45799126
"001053 - Clerkenwell Green, Clerkenwell",-0.104708922,51.52326004
"200008 - Portman Square, Marylebone",-0.155525,51.516204
"000968 - Warwick Row, Westminster",-0.14296064,51.497998
"001200 - Ontario Street, Elephant & Castle",-0.101384068,51.49652013
